titles  ,  years  ,  certifcation  ,  votes  ,  dataValues ,  IMDBRatings  ,  metaScores  ,  All0to17  ,  All18to29  ,  All30to44  ,  All45to  ,  MaleAll  ,  Male0to17  ,  Male18to29  ,  Male30to44  ,  Male45to  ,  FemaleAll  ,  Female0to17  ,  Female18to29  ,  Female30to44  ,  Female45to , DomesticOpening  ,  Budget  ,  Domestic  ,  International  ,  Worldwide,  genres1  ,genres2,genres3
The In-Laws  ,  I 2003  ,  PG-13  ,16375,  /title/tt0314786/ ,5.8,46,5.7,6,5.7,5.8,5.7,5.5,5.9,5.7,5.7,5.9,6,6.1,5.8,6.1,7319848,  None  ,20453431,6438418,26891849,  Action, Comedy, Thriller  
Foolproof  ,2003,  R  ,9897,  /title/tt0356614/ ,6.5,  None  ,  -  ,6.5,6.5,6.4,6.5,  -  ,6.5,6.5,6.4,6.6,  -  ,6.6,6.6,6.8,230312,  None  ,458990,320046,779036,  Action, Comedy, Crime  
National Lampoon's Van Wilder  ,2002,  R  ,104421,  /title/tt0283111/ ,6.4,26,6.8,6.4,6.5,6.3,6.5,7.5,6.5,6.5,6.3,6.2,7,6.1,6.2,6.2,7302913,5000000,21305259,16970224,38275483,  Comedy, Romance  ,
Bill & Ted Face the Music  ,2020,  PG-13  ,32613,  /title/tt1086064/ ,6,65,6.8,6.3,6,5.8,6,6.6,6.3,6,5.8,6.1,9.7,6.1,6.1,6,1125007,  None  ,3439660,2834367,6274027,  Adventure, Comedy, Music  
John Wick: Chapter 3 - Parabellum  ,2019,  R  ,287639,  /title/tt6146586/ ,7.4,73,7.9,7.6,7.3,7,7.4,7.9,7.6,7.3,7,7.4,7.5,7.5,7.3,7.4,56818067,75000000,171015687,156266092,327281779,  Action, Crime, Thriller  
Replicas  ,2018,  PG-13  ,33595,  /title/tt4154916/ ,5.5,19,5.2,5.5,5.4,5.6,5.5,5,5.4,5.4,5.5,5.5,6.1,5.5,5.3,5.8,2375325,  None  ,4046429,5283646,9330075,  Drama, Sci-Fi, Thriller  
Siberia  ,2018,  R  ,13397,  /title/tt6494418/ ,4.3,34,4.5,4.2,4.3,4.4,4.4,4,4.3,4.4,4.5,3.9,3.7,3.8,3.9,4.2, None  ,  None  ,  None  ,636366,636366,  Crime, Romance, Thriller  
Destination Wedding  ,2018,  R  ,25628,  /title/tt6987770/ ,6,46,5.7,6.1,6,6.1,6,6.4,6.2,5.9,6,6,5,5.9,6,6.3, None  ,  None  ,  None  ,2183025,2183025,  Comedy, Drama, Romance  
John Wick: Chapter 2  ,2017,  R  ,376989,  /title/tt4425200/ ,7.5,75,7.8,7.7,7.3,7.1,7.4,7.8,7.7,7.3,7.1,7.4,7.4,7.5,7.2,7.4,30436123,  None  ,92029184,79518618,171547802,  Action, Crime, Thriller  
A Happening of Monumental Proportions  ,2017,  R  ,761,  /title/tt5228262/ ,4.7,35,6,5,4.6,4.9,4.8,6,5.2,4.7,4.9,4.6,6,4.7,4.5,4.7, None  ,  None  ,  None  ,  None  ,  None,  Comedy, Drama  ,
The Whole Truth  ,2016,  R  ,24920,  /title/tt3503406/ ,6.2,46,5.9,6.3,6.2,6.2,6.2,5.8,6.3,6.2,6.1,6.3,8,6.4,6.3,6.3, None  ,  None  ,  None  ,1667849,1667849,  Crime, Drama, Mystery  
The Neon Demon  ,2016,  R  ,86229,  /title/tt1974419/ ,6.2,51,6.8,6.6,6.1,5.6,6.2,7,6.7,6.1,5.6,5.8,6.3,6.1,5.7,5.3,589014,  None  ,1333124,2044306,3377430,  Horror, Thriller  ,
The Bad Batch  ,2016,  R  ,27484,  /title/tt4334266/ ,5.3,62,5.4,5.5,5.3,5,5.2,5.7,5.5,5.3,5,5.4,5.3,5.6,5.3,5.1,89111,  None  ,180851,21039,201890,  Action, Horror, Mystery  
Exposed  ,  III 2016  ,  R  ,14134,  /title/tt4019560/ ,4.3,23,4,4.3,4.3,4.4,4.3,3,4.3,4.3,4.4,4.5,6,4.5,4.4,4.7, None  ,  None  ,  None  ,269915,269915,  Crime, Drama, Mystery  
Knock Knock  ,  I 2015  ,  R  ,86031,  /title/tt3605418/ ,4.9,53,4.3,4.8,4.9,4.9,4.9,3.9,4.9,5,5,4.4,5.9,4.5,4.4,4.5,18623,  None  ,36336,5530767,5567103,  Drama, Thriller  ,
John Wick  ,2014,  R  ,553098,  /title/tt2911666/ ,7.4,68,7.8,7.6,7.3,7.2,7.3,7.8,7.6,7.3,7.1,7.3,7.3,7.4,7.2,7.4,14415922,20000000,43037835,43043876,86081711,  Action, Crime, Thriller  
47 Ronin  ,2013,  PG-13  ,150141,  /title/tt1335975/ ,6.3,28,5.8,6.3,6.2,6.4,6.2,5.3,6.3,6.2,6.3,6.5,7.2,6.4,6.4,6.7,9910310,175000000,38362475,113421364,151783839,  Action, Drama, Fantasy  
Man of Tai Chi  ,2013,  R  ,36144,  /title/tt2016940/ ,6.1,52,6.5,6.3,6,5.9,6.1,5.9,6.3,6,5.9,6.1,7.3,6.1,6.1,6.1,61054,  None  ,100144,5364741,5464885,  Action, Drama  ,
Generation Um...  ,2012,  R  ,3891,  /title/tt1718158/ ,4,25,  -  ,4.5,4,3.6,3.9,  -  ,4.5,4,3.6,4.1,  -  ,4.5,4,3.8, None  ,  None  ,  None  ,  None  ,  None,  Drama  ,,
Henry's Crime  ,2010,  R  ,19151,  /title/tt1220888/ ,6,49,5.8,6.2,6,5.9,6,6,6.2,6,5.9,5.9,5,6.1,5.8,5.9,8726,  None  ,102541,2067258,2169799,  Comedy, Crime, Drama  
The Day the Earth Stood Still  ,2008,  PG-13  ,164798,  /title/tt0970416/ ,5.5,40,5,5.5,5.5,5.5,5.5,5.2,5.5,5.5,5.5,5.6,7,5.6,5.5,5.8,30480153,80000000,79366978,153726881,233093859,  Drama, Sci-Fi, Thriller  
Street Kings  ,2008,  R  ,108156,  /title/tt0421073/ ,6.8,55,6,6.8,6.8,6.7,6.8,5.5,6.8,6.8,6.7,6.6,7.2,6.6,6.6,6.8,12469631,20000000,26418667,40057696,66476363,  Action, Crime, Drama  
A Scanner Darkly  ,2006,  R  ,107413,  /title/tt0405296/ ,7.1,73,7.3,7.3,7.1,6.7,7.1,7.7,7.3,7.1,6.7,7.1,6.7,7.3,7.1,6.9,391672,  None  ,5501616,2158302,7659918,  Animation, Crime, Drama  
The Lake House  ,2006,  PG  ,142204,  /title/tt0410297/ ,6.8,52,6.8,6.9,6.7,6.7,6.7,6.2,6.8,6.7,6.6,7,7.7,7.1,6.9,7.2,13616196,40000000,52330111,62500000,114830111,  Drama, Fantasy, Romance  
Constantine  ,2005,  R  ,313130,  /title/tt0360486/ ,7,50,7,7.1,7,6.8,6.9,6.8,7.1,6.9,6.8,7.2,7,7.3,7.1,7.2,29769098,100000000,75976178,154908550,230884728,  Action, Fantasy, Horror  
Thumbsucker  ,2005,  R  ,20674,  /title/tt0318761/ ,6.6,69,  -  ,6.6,6.6,6.5,6.5,  -  ,6.6,6.6,6.4,6.6,  -  ,6.7,6.6,6.7,85327,  None  ,1328679,810063,2138742,  Comedy, Drama  ,
The Matrix Reloaded  ,2003,  R  ,523452,  /title/tt0234215/ ,7.2,62,7.1,7.3,7.2,7,7.2,7.1,7.3,7.2,7,7.1,6.5,7.2,7,7.1,91774413,150000000,281576461,460271476,741847937,  Action, Sci-Fi  ,
The Matrix Revolutions  ,2003,  R  ,454426,  /title/tt0242653/ ,6.8,47,6.5,6.9,6.7,6.6,6.8,6.5,6.9,6.8,6.6,6.8,5.8,7,6.7,6.8,48475154,150000000,139313948,288030377,427344325,  Action, Sci-Fi  ,
Something's Gotta Give  ,2003,  PG-13  ,113693,  /title/tt0337741/ ,6.7,66,7,6.7,6.7,6.9,6.7,7,6.6,6.6,6.8,6.9,6.7,6.7,6.8,7.3,16064723,80000000,124728738,140600000,265328738,  Comedy, Drama, Romance  
Hardball  ,2001,  PG-13  ,28753,  /title/tt0180734/ ,6.4,48,5.1,6.9,6.4,6.1,6.4,5.2,6.8,6.3,6.1,6.7,1,7.1,6.7,6.5,9386342,32000000,40222729,3879660,44102389,  Drama, Sport  ,
Sweet November  ,2001,  PG-13  ,86689,  /title/tt0230838/ ,6.7,27,6,7,6.8,6.3,6.7,6.1,6.9,6.7,6.2,6.8,5.6,7,6.8,6.4,9733954,  None  ,25288103,40466125,65754228,  Drama, Romance  ,
The Replacements  ,2000,  PG-13  ,59164,  /title/tt0191397/ ,6.6,30,5,6.8,6.5,6.6,6.6,5,6.8,6.5,6.5,6.8,  -  ,6.9,6.6,7.1,11039214,50000000,44737059,5317452,50054511,  Comedy, Sport  ,
The Gift  ,2000,  R  ,64561,  /title/tt0219699/ ,6.6,62,5.2,6.6,6.6,6.8,6.6,7,6.5,6.5,6.8,6.8,5,6.7,6.7,7.1,11827,  None  ,12008642,32558964,44567606,  Drama, Fantasy, Horror  
The Watcher  ,  I 2000  ,  R  ,26057,  /title/tt0204626/ ,5.3,22,4,5.4,5.2,5.4,5.2,  -  ,5.3,5.2,5.4,5.6,  -  ,5.7,5.5,5.9,9062295,30000000,28946615,18321214,47267829,  Crime, Drama, Mystery  
Jojo Rabbit  ,2019,  PG-13  ,317736,  /title/tt2584384/ ,7.9,58,7.9,8,7.8,7.7,7.8,7.9,7.9,7.8,7.7,8.1,8,8.2,8.1,8.1,349555,14000000,33370906,56964119,90335025,  Comedy, Drama, War  
Marriage Story  ,2019,  R  ,258090,  /title/tt7653254/ ,7.9,94,8.3,8.1,7.8,7.5,7.9,8.4,8.2,7.8,7.6,7.8,7.9,7.9,7.7,7.5, None  ,  None  ,  None  ,333686,333686,  Comedy, Drama, Romance  
Ghost in the Shell  ,2017,  PG-13  ,199438,  /title/tt1219827/ ,6.3,52,5.7,6.3,6.3,6.4,6.4,5.7,6.3,6.4,6.4,6.3,5.7,6.3,6.3,6.3,18676033,110000000,40563557,129283388,169846945,  Action, Crime, Drama  
Rough Night  ,2017,  R  ,48096,  /title/tt4799050/ ,5.2,51,4.9,5.5,5.1,5,5.1,4.2,5.3,5.1,4.9,5.4,5.5,5.7,5.3,5.1,8004283,20000000,22105643,25241640,47347283,  Comedy, Crime, Thriller  
Captain America: Civil War  ,2016,  PG-13  ,682957,  /title/tt3498820/ ,7.8,75,7.9,7.9,7.7,7.6,7.8,7.7,7.9,7.7,7.6,7.8,8.2,7.9,7.7,7.8,179139142,250000000,408084349,745253147,1153337496,  Action, Adventure, Sci-Fi  
Sing  ,2016,  PG  ,136974,  /title/tt3470600/ ,7.1,59,6.7,7.1,7.1,7.2,7.1,6.5,7.1,7,7.2,7.3,6.9,7.3,7.3,7.5,35258145,75000000,270448425,363759959,634208384,  Animation, Comedy, Family  
American Express Unstaged: Ellie Goulding  ,2015,  None  ,18,  /title/tt5176560/ ,8.3,  None  ,  -  ,10,6.8,  -  ,7.5,  -  ,10,6.7,  -  ,9.2,  -  ,10,7,  -  , None  ,  None  ,  None  ,  None  ,  None,  Music  ,,
Captain America: The Winter Soldier  ,2014,  PG-13  ,753614,  /title/tt1843866/ ,7.7,70,7.9,7.9,7.6,7.7,7.7,7.8,7.9,7.6,7.6,7.8,8.3,8,7.7,7.8,95023721,170000000,259766572,454654931,714421503,  Action, Adventure, Sci-Fi  
Chef  ,2014,  R  ,200143,  /title/tt2883512/ ,7.3,68,7.6,7.4,7.2,7.2,7.3,7.7,7.4,7.2,7.2,7.3,7.2,7.4,7.2,7.4,204961,  None  ,31424003,17004045,48428048,  Adventure, Comedy, Drama  
Lucy  ,  I 2014  ,  R  ,454513,  /title/tt2872732/ ,6.4,61,6.6,6.4,6.3,6.6,6.4,6.6,6.4,6.3,6.6,6.4,6.6,6.5,6.3,6.6,43899340,40000000,126663600,332200000,458863600,  Action, Sci-Fi, Thriller  
Her  ,2013,  R  ,552265,  /title/tt1798709/ ,8,90,8.3,8.2,7.9,7.5,8,8.4,8.3,8,7.5,7.8,7.9,7.9,7.7,7.2,260382,23000000,25568251,22949176,48517427,  Drama, Romance, Sci-Fi  
Don Jon  ,2013,  R  ,231005,  /title/tt2229499/ ,6.5,66,6.7,6.6,6.5,6.4,6.6,6.8,6.7,6.6,6.4,6.4,6.5,6.3,6.4,6.5,8677009,3000000,24477704,14961651,39439355,  Comedy, Drama, Romance  
Under the Skin  ,  I 2013  ,  R  ,132017,  /title/tt1441395/ ,6.3,80,7.8,6.8,6.2,6,6.3,7.8,6.8,6.2,6,6,7.5,6.3,5.9,5.7,133154,13300000,2614251,3121712,5735963,  Drama, Horror, Sci-Fi  
The Avengers  ,2012,  PG-13  ,1279727,  /title/tt0848228/ ,8,69,8,8.1,8,8,8,7.9,8,8,7.9,8.2,8.2,8.2,8.1,8.2,207438708,220000000,623357910,895457605,1518815515,  Action, Adventure, Sci-Fi  
Hitchcock  ,2012,  PG-13  ,72712,  /title/tt0975645/ ,6.8,55,6.9,6.9,6.8,6.9,6.8,6.8,6.8,6.8,6.8,7,7,7,6.9,7,287715,  None  ,6008677,21030992,27039669,  Biography, Drama, Romance  
We Bought a Zoo  ,2011,  PG  ,136543,  /title/tt1389137/ ,7.1,58,6.5,7.2,7.1,7,7,6.7,7.2,7,6.9,7.2,6,7.4,7.1,7.2,9360434,  None  ,75624550,44457291,120081841,  Comedy, Drama, Family  
Vicky Cristina Barcelona  ,2008,  PG-13  ,244906,  /title/tt0497465/ ,7.1,70,6.1,7.1,7.1,7,7.1,6.4,7.1,7.1,7,7.1,5.8,7.1,7.1,7.1,3755575,  None  ,23216709,73192591,96409300,  Comedy, Drama, Romance  
The Other Boleyn Girl  ,2008,  PG-13  ,106171,  /title/tt0467200/ ,6.7,50,6.7,6.8,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.9,6.8,6.9,6.9,6.9,8203061,35000000,26814957,51386873,78201830,  Biography, Drama, History  
The Spirit  ,2008,  PG-13  ,59764,  /title/tt0831887/ ,4.8,30,5.7,4.8,4.8,4.7,4.8,8,4.7,4.8,4.7,5,4.5,5.2,5,4.6,6463278,  None  ,19806188,19358253,39164441,  Action, Crime, Fantasy  
The Nanny Diaries  ,2007,  PG-13  ,56550,  /title/tt0489237/ ,6.2,46,5.7,6.4,6.1,6,6,6.5,6.2,6,5.9,6.3,5,6.5,6.2,6.2,7480927,  None  ,25930652,21886368,47817020,  Comedy, Drama, Romance  
The Prestige  ,2006,  PG-13  ,1213168,  /title/tt0482571/ ,8.5,66,8.7,8.7,8.5,7.9,8.5,8.7,8.8,8.5,7.9,8.4,8.3,8.6,8.3,7.9,14801808,40000000,53089891,56586420,109676311,  Drama, Mystery, Sci-Fi  
The Black Dahlia  ,2006,  R  ,71807,  /title/tt0387877/ ,5.6,49,6.7,5.7,5.6,5.5,5.6,10,5.7,5.6,5.5,5.5,5,5.7,5.5,5.4,10005895,50000000,22545080,26787612,49332692,  Crime, Drama, Mystery  
Scoop  ,2006,  PG-13  ,81535,  /title/tt0457513/ ,6.6,48,6.5,6.7,6.7,6.6,6.6,6.2,6.7,6.6,6.6,6.8,8,6.9,6.7,6.6,3003000,  None  ,10525717,28695229,39220946,  Comedy, Crime, Fantasy  
The Island  ,2005,  PG-13  ,302512,  /title/tt0399201/ ,6.8,50,6.8,6.9,6.8,6.8,6.8,6.1,6.9,6.9,6.8,6.8,7.5,6.9,6.8,6.8,12409070,126000000,35818913,127130251,162949164,  Action, Sci-Fi, Thriller  
Match Point  ,2005,  R  ,208284,  /title/tt0416320/ ,7.6,72,7.5,7.6,7.6,7.5,7.6,8.2,7.7,7.7,7.5,7.4,6.7,7.4,7.5,7.6,398593,15000000,23151529,62487127,85638656,  Drama, Romance, Thriller  
The Perfect Score  ,2004,  PG-13  ,24026,  /title/tt0314498/ ,5.7,35,6.1,6,5.6,5.5,5.7,6,6,5.6,5.5,5.9,6.8,6,5.8,5.8,4873819,  None  ,10391003,507334,10898337,  Comedy, Crime, Drama  
In Good Company  ,2004,  PG-13  ,53816,  /title/tt0385267/ ,6.4,66,8,6.3,6.4,6.5,6.5,8,6.4,6.5,6.5,6.1,  -  ,6.1,6.1,6.5,151750,  None  ,45806659,15508556,61315215,  Comedy, Drama, Romance  
A Good Woman  ,2004,  PG  ,11606,  /title/tt0379306/ ,6.5,53,  -  ,6.5,6.4,6.6,6.3,  -  ,6.3,6.2,6.5,6.7,  -  ,6.7,6.6,6.8,97060,  None  ,238609,6639824,6878433,  Drama, Comedy, Romance  
A Love Song for Bobby Long  ,2004,  R  ,25378,  /title/tt0369672/ ,7.1,48,  -  ,7.2,7.1,7.1,7,  -  ,7.1,7.1,7,7.5,  -  ,7.5,7.4,7.5,28243,  None  ,164308,1875218,2039526,  Drama  ,,
Lost in Translation  ,2003,  R  ,422324,  /title/tt0335266/ ,7.7,89,7.9,7.7,7.7,7.6,7.8,8,7.8,7.8,7.6,7.4,7.6,7.4,7.4,7.4,925087,4000000,44585453,74101484,118686937,  Comedy, Drama  ,
Girl with a Pearl Earring  ,2003,  PG-13  ,73185,  /title/tt0335119/ ,6.9,72,6.8,6.9,6.8,7.1,6.8,6.1,6.7,6.7,7,7,7.5,7,7,7.2,89472,  None  ,11670971,21359144,33030115,  Biography, Drama, Romance  
Eight Legged Freaks  ,2002,  PG-13  ,53109,  /title/tt0271367/ ,5.4,53,5.3,5.4,5.3,5.8,5.4,4.7,5.5,5.3,5.8,5.3,5.5,5.3,5.1,6,6485458,30000000,17322606,28544727,45867333,  Action, Adventure, Comedy  
Ghost World  ,2001,  R  ,114148,  /title/tt0162346/ ,7.3,88,7.3,7.3,7.3,7.3,7.3,6.9,7.3,7.3,7.3,7.3,7.5,7.3,7.3,7.3,98791,7000000,6217849,2546158,8764007,  Comedy, Drama  ,
An American Rhapsody  ,2001,  PG-13  ,3899,  /title/tt0221799/ ,6.7,51,5,6.8,6.7,6.7,6.6,4,6.4,6.7,6.7,6.9,6,7.2,6.8,7,40200,  None  ,850255,120421,970676,  Drama  ,,
Fast & Furious Presents: Hobbs & Shaw  ,2019,  PG-13  ,175057,  /title/tt6806448/ ,6.4,60,6.5,6.4,6.3,6.5,6.4,6.5,6.4,6.3,6.5,6.8,5.7,6.7,6.7,7.1,60038950,200000000,173956935,585100000,759056935,  Action, Adventure, Thriller  
Jumanji: The Next Level  ,2019,  PG-13  ,197801,  /title/tt7975244/ ,6.6,58,7.1,6.7,6.5,6.7,6.6,6.9,6.6,6.5,6.6,7,7.6,7,6.9,7.1,59251543,125000000,320314960,479744747,800059707,  Action, Adventure, Comedy  
Fighting with My Family  ,2019,  PG-13  ,68957,  /title/tt6513120/ ,7.1,68,6.8,7.1,7,7.1,7,6.7,7.1,7,7,7.1,6.7,7.1,7.1,7.2,138780,11000000,22958886,17853033,40811919,  Biography, Comedy, Drama  
Rampage  ,2018,  PG-13  ,148111,  /title/tt2231461/ ,6.1,45,5.9,6.1,6,6.2,6,5.9,6,6,6.1,6.4,5.3,6.4,6.3,6.7,35753093,120000000,101028233,327000000,428028233,  Action, Adventure, Sci-Fi  
Skyscraper  ,2018,  PG-13  ,109754,  /title/tt5758778/ ,5.8,51,5.6,5.8,5.7,5.9,5.8,5.6,5.8,5.7,5.8,6.1,4.3,6.1,6,6.3,24905015,125000000,68420120,236448841,304868961,  Action, Adventure, Thriller  
Jumanji: Welcome to the Jungle  ,2017,  PG-13  ,328799,  /title/tt2283362/ ,6.9,58,7.1,7,6.8,7,6.8,6.9,6.9,6.8,6.9,7.3,7.7,7.3,7.2,7.5,36169328,90000000,404540171,557634279,962174450,  Action, Adventure, Comedy  
Baywatch  ,2017,  R  ,165890,  /title/tt1469304/ ,5.5,37,5.7,5.7,5.4,5.4,5.5,5.7,5.6,5.4,5.4,5.7,5.5,5.9,5.6,5.7,18503871,69000000,58060186,119796565,177856751,  Action, Comedy, Crime  
The Fate of the Furious  ,2017,  PG-13  ,209157,  /title/tt4630562/ ,6.6,56,6.7,6.7,6.5,6.6,6.6,6.6,6.7,6.5,6.5,7.1,7.1,7.3,7,7.1,98786705,250000000,226008385,1009996733,1236005118,  Action, Adventure, Crime  
Moana  ,  I 2016  ,  PG  ,281526,  /title/tt3521164/ ,7.6,81,7.4,7.6,7.5,7.5,7.5,7.3,7.5,7.5,7.4,7.9,7.7,7.9,7.9,7.9,56631401,  None  ,248757044,396205495,644962539,  Animation, Adventure, Comedy  
Central Intelligence  ,2016,  PG-13  ,163031,  /title/tt1489889/ ,6.3,52,6.5,6.4,6.2,6.3,6.3,6.3,6.4,6.2,6.2,6.5,6.7,6.5,6.4,6.7,35535250,50000000,127440871,89531672,216972543,  Action, Comedy, Crime  
